"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.161493000E-2,1.576870084E0,2.480160713E0,1.017129040E1
4.161493000E-2,1.628913999E0,2.576471806E0,1.022752190E1
5.161493000E-2,1.637887120E0,2.557329178E0,1.015155029E1
6.161493000E-2,1.585843205E0,2.489133835E0,1.004746246E1
7.161493000E-2,1.533201098E0,2.411965132E0,9.967302322E0
8.161493000E-2,1.395613790E0,2.223530531E0,9.802796364E0
9.161493000E-2,1.233500123E0,2.126022816E0,9.751948357E0
1.016149300E-1,1.161715388E0,2.077568293E0,9.647860527E0
1.116149300E-1,1.124028444E0,1.976471543E0,9.534201622E0
1.216149300E-1,1.100100160E0,1.889731646E0,9.358927727E0
1.316149300E-1,1.061216831E0,1.902892232E0,9.253643036E0
1.416149300E-1,1.006780148E0,2.045863390E0,9.162715912E0
1.516149300E-1,1.019940615E0,2.151147604E0,9.137591362E0
1.616149300E-1,1.068395257E0,2.157129526E0,9.247062683E0
1.716149300E-1,1.102493048E0,2.109871387E0,9.366703987E0
1.816149300E-1,1.117448211E0,2.085943222E0,9.413962364E0
1.916149300E-1,1.094118118E0,2.071586132E0,9.452845573E0
2.016149300E-1,1.027119160E0,2.056631088E0,9.410373688E0
2.116149300E-1,9.463613629E-1,1.954936147E0,9.325428009E0
2.216149300E-1,8.793623447E-1,1.968694806E0,9.340383530E0
2.316149300E-1,7.884350419E-1,2.054238319E0,9.488140106E0
2.416149300E-1,7.603194118E-1,2.121835470E0,9.726225853E0
2.516149300E-1,7.800601721E-1,2.155933142E0,9.873384476E0
2.616149300E-1,6.616154313E-1,2.135594130E0,1.001276588E1
2.716149300E-1,5.760720372E-1,2.202593327E0,1.018923664E1
2.816149300E-1,4.516452849E-1,2.234896421E0,1.030409241E1
2.916149300E-1,3.134597540E-1,2.252842426E0,1.041954613E1
3.016149300E-1,2.638086975E-1,2.176870346E0,1.076830006E1
3.116149300E-1,2.428714931E-1,1.962114573E0,1.099920750E1
3.216149300E-1,1.298106313E-1,1.798206210E0,1.098185921E1
3.316149300E-1,-1.184447184E-1,1.670788407E0,1.081256771E1
3.416149300E-1,-3.631108403E-1,1.619940877E0,1.048056316E1
3.516149300E-1,-4.941178858E-1,1.622931957E0,1.021436119E1
3.616149300E-1,-5.670989752E-1,1.669592023E0,1.007617569E1
3.716149300E-1,-7.214360237E-1,1.730010748E0,9.862018585E0
3.816149300E-1,-7.794619799E-1,1.724028707E0,9.757332802E0
3.916149300E-1,-8.602197170E-1,1.622333765E0,9.625128746E0
4.016149300E-1,-9.942178130E-1,1.481755376E0,9.426525116E0
4.116149300E-1,-1.152144074E0,1.393819213E0,9.218349457E0
4.216149300E-1,-1.242473125E0,1.277767301E0,9.114859581E0
4.316149300E-1,-1.262213945E0,1.286740422E0,8.971888542E0
4.416149300E-1,-1.358525038E0,1.372283816E0,9.053244591E0
4.516149300E-1,-1.319043517E0,1.348953724E0,9.167501450E0
4.616149300E-1,-1.333400369E0,1.277169108E0,9.096315384E0
4.716149300E-1,-1.381256819E0,1.223330617E0,8.982656479E0
4.816149300E-1,-1.414756417E0,1.160519004E0,8.864211082E0
4.916149300E-1,-1.384247899E0,1.080359459E0,9.026923180E0
5.016149300E-1,-1.409970760E0,9.415757060E-1,9.304491043E0
5.116149300E-1,-1.380060434E0,8.656035662E-1,9.395418167E0
5.216149300E-1,-1.356730461E0,7.310073376E-1,9.086744308E0
5.316149300E-1,-1.817348838E0,1.435095429E0,9.098110199E0
5.416149300E-1,-9.912267923E-1,1.755135417E0,9.558130264E0
5.516149300E-1,-1.326820135E0,2.201396942E0,9.289535522E0
5.616149300E-1,-1.624128342E0,2.226521492E0,9.190832138E0
5.716149300E-1,-1.706082582E0,1.876571178E0,9.303893089E0
5.816149300E-1,-1.924427629E0,1.488335729E0,8.001599312E0
5.916149300E-1,-2.397010088E0,1.655235052E0,9.329017639E0
6.016149300E-1,-2.028515339E0,1.437488198E0,8.922835350E0
