"time","gyro_x","gyro_y","gyro_z"
1.000200268E1,1.797471046E-1,-2.038762718E-1,-2.351831272E-2
1.001200268E1,-5.650503561E-3,-3.581197560E-1,-6.872233935E-3
1.002200268E1,-5.894849449E-2,-3.932445049E-1,1.175915636E-2
1.003200268E1,-6.475171447E-2,-5.311473012E-1,5.955936015E-2
1.004200268E1,-6.047565863E-2,-8.335255980E-1,1.186605766E-1
1.005200269E1,5.787948146E-2,-9.526443481E-1,2.318233550E-1
1.006200269E1,2.953533530E-1,-9.563095570E-1,3.750712574E-1
1.007200269E1,4.150829315E-1,-1.151633739E0,4.859432876E-1
1.008200268E1,4.983133376E-1,-1.303586483E0,5.945246220E-1
1.009200268E1,5.216789246E-1,-1.327562928E0,6.505714655E-1
1.010200268E1,4.182899892E-1,-1.113607287E0,6.676757336E-1
1.011200268E1,1.365283877E-1,-6.007859707E-1,4.616613984E-1
1.012200268E1,-1.740965992E-2,-3.071125150E-1,8.338310570E-2
1.013200268E1,5.253441259E-2,-2.211332172E-1,2.076941915E-2
1.014200269E1,1.707368344E-1,-1.647808999E-1,1.117883399E-1
1.015200269E1,1.795943826E-1,-1.719585657E-1,1.716531366E-1
1.016200269E1,1.456913650E-1,-1.731802970E-1,1.985312104E-1
1.017200268E1,1.287398487E-1,-1.429424733E-1,2.021963894E-1
1.018200268E1,1.319468915E-1,-3.054326214E-2,1.568396538E-1
1.019200268E1,2.277000248E-1,1.427897513E-1,1.488984078E-1
1.020200268E1,3.320052624E-1,3.197879493E-1,1.666134894E-1
1.021200268E1,4.337143302E-1,6.140722632E-1,1.632537395E-1
1.022200269E1,5.146539807E-1,8.781188130E-1,1.394299865E-1
1.023200269E1,5.725334287E-1,9.410378933E-1,8.781187981E-2
1.024200269E1,6.818783283E-1,6.169738770E-1,5.009094998E-2
1.025200268E1,5.447390676E-1,4.796819389E-1,1.175915636E-2
1.026200268E1,3.900374472E-1,4.088215530E-1,-9.132435173E-2
1.027200268E1,2.255619913E-1,5.786421299E-1,-1.910481006E-1
1.028200268E1,1.789835095E-1,7.223481536E-1,-2.680171132E-1
1.029200268E1,2.116648108E-1,7.344127297E-1,-2.704605758E-1
1.030200269E1,1.838704348E-1,7.719809413E-1,-2.484694421E-1
1.031200269E1,2.156354338E-1,7.371616364E-1,-1.960877478E-1
1.032200269E1,2.551889420E-1,6.334672570E-1,-7.040221989E-2
1.033200268E1,2.435825169E-1,4.593706727E-1,-2.901609987E-3
1.034200268E1,1.272126883E-1,2.799290121E-1,-2.290744707E-2
1.035200268E1,-1.527163113E-4,1.319468915E-1,-1.252273750E-2
1.036200268E1,-7.987063378E-2,2.168571576E-2,2.947424725E-2
1.037200268E1,-7.223481685E-2,-5.314527452E-2,9.666942805E-2
1.038200268E1,-2.932153270E-2,-1.108720452E-1,1.734857261E-1
1.039200269E1,-5.955935922E-3,-1.663080603E-1,2.186897546E-1
1.040200269E1,1.145372353E-2,-1.623374373E-1,3.077233732E-1
1.041200269E1,9.468411095E-3,-3.219259977E-1,3.567453027E-1
1.042200268E1,-2.412917651E-2,-3.570507467E-1,4.240931869E-1
1.043200268E1,-9.025534242E-2,-4.537201524E-1,5.366451144E-1
1.044200268E1,-1.832595654E-2,-5.186246037E-1,5.963571668E-1
1.045200268E1,1.175915636E-2,-5.561928153E-1,5.413793325E-1
1.046200268E1,2.122756653E-2,-6.337726712E-1,4.584543705E-1
1.047200269E1,1.411098689E-1,-6.820310354E-1,3.921754956E-1
1.048200269E1,4.289801121E-1,-3.342960179E-1,2.625193298E-1
1.049200269E1,4.844161272E-1,-3.367394805E-1,1.805106848E-1
1.050200268E1,6.191119552E-1,-3.315471113E-1,1.849394590E-1
1.051200268E1,7.000515461E-1,-3.683517575E-1,3.445279896E-1
1.052200268E1,6.693555713E-1,-7.499898076E-1,1.902845204E-1
1.053200268E1,4.453207552E-1,-8.370380998E-1,4.474587739E-2
1.054200268E1,4.291328490E-1,-6.991352439E-1,-5.345070735E-3
1.055200269E1,5.948300362E-1,-7.886270285E-1,-1.595885456E-1
1.056200269E1,4.651738703E-1,-7.319692969E-1,-9.453139454E-2
1.057200269E1,4.233296216E-1,-1.815796942E-1,-1.075122803E-1
1.058200268E1,2.590068579E-1,2.365575731E-1,-1.123992056E-1
1.059200268E1,1.420261711E-1,7.322747111E-1,-1.214094684E-1
1.060200268E1,8.979719132E-2,9.451612234E-1,-7.880161703E-2
1.061200268E1,-6.093380973E-2,8.646797538E-1,-1.660026312E-1
1.062200268E1,-1.443169117E-1,7.858781219E-1,-1.021672115E-1
1.063200268E1,-2.089159191E-1,5.688682795E-1,-1.918116808E-1
1.064200269E1,-1.067487001E-1,2.594650090E-1,-1.855503172E-1
