"t","x","y","z"
2.245876800E-2,1.609771490E0,2.815155745E0,1.037946606E1
3.109203600E-2,1.716850281E0,3.132204771E0,1.047159004E1
4.109203600E-2,1.846062660E0,3.267997503E0,1.073180962E1
5.109203600E-2,1.826920033E0,3.190829039E0,1.057029438E1
6.109203600E-2,1.517647743E0,2.928814888E0,1.035972595E1
7.109203600E-2,1.030708313E0,2.699103832E0,1.013061333E1
8.109203600E-2,4.941178858E-1,2.620738983E0,9.757930756E0
9.109203600E-2,4.444667995E-1,2.782852650E0,9.647262573E0
1.010920360E-1,9.714859724E-1,2.952144861E0,1.025324535E1
1.110920360E-1,1.414756417E0,3.039483070E0,1.096032429E1
1.210920360E-1,1.688136339E0,3.110071182E0,1.131147099E1
1.310920360E-1,1.664806366E0,3.047857761E0,1.125464153E1
1.410920360E-1,1.873580098E0,2.216950178E0,1.125523949E1
1.510920360E-1,2.249253273E0,2.693121910E0,1.087238789E1
1.610920360E-1,1.941177368E0,2.869592667E0,9.952347755E0
1.710920360E-1,1.747956991E0,2.977269650E0,9.742975235E0
1.810920360E-1,1.753340840E0,2.900699139E0,9.690931320E0
1.910920360E-1,1.680957913E0,2.435893536E0,9.656833649E0
2.010920360E-1,1.567298889E0,1.764706731E0,9.562317848E0
2.110920360E-1,1.633101463E0,1.750349760E0,9.304491043E0
2.210920360E-1,1.607976794E0,1.811964989E0,9.218349457E0
2.310920360E-1,1.727019787E0,1.783849239E0,9.103493690E0
2.410920360E-1,1.990230203E0,1.743171334E0,9.064012527E0
2.510920360E-1,2.362314224E0,1.883749604E0,8.255238533E0
2.610920360E-1,2.552543640E0,1.851446509E0,8.029714584E0
2.710920360E-1,2.142772675E0,1.766501307E0,8.123632431E0
2.810920360E-1,1.765903115E0,1.623530149E0,8.036294937E0
2.910920360E-1,1.684547186E0,1.560120344E0,7.880163193E0
3.010920360E-1,1.765304923E0,1.551147223E0,7.788637638E0
3.110920360E-1,1.558325768E0,1.615753531E0,7.646862984E0
3.210920360E-1,1.059422255E0,1.590628862E0,7.249056339E0
3.310920360E-1,3.936193287E-1,1.540379524E0,6.896114826E0
3.410920360E-1,-2.398804724E-1,1.323829174E0,6.934400082E0
3.510920360E-1,-4.408775866E-1,1.093519926E0,7.342974663E0
3.610920360E-1,-2.817548811E-1,9.972088337E-1,8.291728973E0
3.710920360E-1,-4.432703853E-1,1.135394335E0,8.797212601E0
3.810920360E-1,-4.935196638E-1,1.150349498E0,9.202795982E0
3.910920360E-1,-4.875376225E-1,1.151545882E0,9.483952522E0
4.010920360E-1,-5.102694035E-1,1.180259824E0,9.679565430E0
4.110920360E-1,-7.980063558E-1,1.398604870E0,9.913464546E0
4.210920360E-1,-1.533799291E0,2.182254314E0,1.052662468E1
4.310920360E-1,-2.011765718E0,2.636890650E0,1.037348461E1
4.410920360E-1,-2.761317253E0,3.161516905E0,1.066002464E1
4.510920360E-1,-3.146561861E0,2.937788010E0,1.056849957E1
4.610920360E-1,-2.867199659E0,2.299502611E0,9.017352104E0
4.710920360E-1,-2.505285263E0,1.759322882E0,7.731808186E0
4.810920360E-1,-1.960918188E0,2.509472847E0,8.986245155E0
4.910920360E-1,-2.094317913E0,4.085146427E0,1.183669567E1
5.010920360E-1,-2.726621389E0,4.356731892E0,1.384128284E1
5.110920360E-1,-2.685943544E-1,3.167499065E0,1.283868980E1
5.210920360E-1,-8.015955687E-1,1.929811478E0,1.191685486E1
5.310920360E-1,-1.051645517E0,2.559721947E0,8.374878883E0
5.410920360E-1,-1.219741344E0,2.511865616E0,9.105886459E0
5.510920360E-1,-1.351944804E0,2.184647083E0,8.813364029E0
5.610920360E-1,-1.306481123E0,1.661815286E0,8.283353806E0
5.710920360E-1,-1.101894855E0,1.137188911E0,8.042875290E0
5.810920360E-1,-8.596215248E-1,1.107278705E0,8.580661774E0
5.910920360E-1,-2.261217386E-1,2.261217356E0,1.026102161E1
6.010920360E-1,1.190429255E-1,3.176471949E0,9.440881729E0
6.110920360E-1,4.480560422E-1,3.693321705E0,8.395217896E0
6.210920360E-1,4.378865361E-1,4.272983074E0,8.495717049E0
6.310920360E-1,2.566302419E-1,3.720839262E0,8.468199730E0
6.410920360E-1,-2.171486616E-1,1.417149186E0,9.504291534E0
6.510920360E-1,-2.811566591E-1,1.086341500E0,9.483354568E0
6.610920360E-1,-4.432703853E-1,1.349551916E0,6.506084919E0
6.710920360E-1,-4.749752879E-1,1.249651670E0,6.664609432E0
6.810920360E-1,-1.196411327E-1,1.433898926E0,9.918250084E0
6.910920360E-1,5.856433511E-1,2.355135679E0,1.205803108E1
7.010920360E-1,1.598405480E0,3.691527128E0,1.076351452E1
7.110920360E-1,1.850848317E0,3.936791420E0,1.020239735E1
7.210920360E-1,1.950150490E0,3.932005882E0,9.934401512E0
7.310920360E-1,2.188236237E0,3.787240028E0,1.039202881E1
7.410920360E-1,2.750549555E0,3.577867985E0,1.061456108E1
7.510920360E-1,3.290131092E0,5.104488850E0,1.053739262E1
7.610920360E-1,2.024926186E0,4.670191765E0,1.010488987E1
7.710920360E-1,9.720842242E-1,3.584448338E0,1.052004433E1
7.810920360E-1,6.000002623E-1,2.924627542E0,1.034656525E1
7.910920360E-1,9.080761671E-1,3.439084291E0,9.901499748E0
8.010920360E-1,1.747956991E0,3.929612875E0,9.673583984E0
8.110920360E-1,6.634100676E-1,3.428914785E0,8.858827591E0
8.210920360E-1,3.529413342E-1,3.943371773E0,7.197012424E0
8.310920360E-1,1.089332461E0,4.996213913E0,6.526423931E0
