"t","x","y","z"
1.906610000E-2,4.505131245E-1,7.269296050E-2,-8.536841720E-2
2.753170600E-2,3.695734739E-1,5.299255997E-2,-8.552113175E-2
3.753170600E-2,2.507601976E-1,4.214970022E-2,-8.704829961E-2
4.753170600E-2,1.319468915E-1,1.664607786E-2,-1.160643995E-2
5.753170600E-2,8.888089657E-2,-3.023782931E-2,2.260201424E-2
6.753170600E-2,8.597928286E-2,-8.078692853E-2,1.863138936E-2
7.753170600E-2,7.696902007E-2,-1.102611795E-1,-4.734205548E-3
8.753170600E-2,7.696902007E-2,-1.102611795E-1,-4.734205548E-3
9.753170600E-2,7.696902007E-2,-1.102611795E-1,-4.734205548E-3
1.075317060E-1,-3.054326226E-4,-1.044579595E-1,-1.091921628E-1
1.175317060E-1,-2.733621933E-2,-7.895433158E-2,-1.304197311E-1
1.275317060E-1,-4.993823543E-2,-6.276640296E-2,-1.366810948E-1
1.375317060E-1,-7.116580009E-2,-5.253441259E-2,-1.371392459E-1
1.475317060E-1,-7.116580009E-2,-5.253441259E-2,-1.371392459E-1
1.575317060E-1,-1.262963861E-1,-1.099557430E-2,-1.178969890E-1
1.675317060E-1,-1.305724531E-1,7.635815418E-4,-1.134682223E-1
1.775317060E-1,-1.288925707E-1,1.130100712E-2,-1.101084575E-1
1.875317060E-1,-1.243110746E-1,3.023782931E-2,-1.162171140E-1
1.975317060E-1,-1.104138941E-1,9.697485715E-2,-1.371392459E-1
2.075317060E-1,-1.104138941E-1,9.697485715E-2,-1.371392459E-1
2.175317060E-1,-1.030835137E-1,1.511891484E-1,-1.443169117E-1
2.275317060E-1,-9.621127695E-2,1.681406647E-1,-1.444696337E-1
2.375317060E-1,-8.124507964E-2,1.747074574E-1,-1.473712474E-1
2.475317060E-1,-5.604688451E-2,1.777617931E-1,-1.475239545E-1
2.575317060E-1,1.343903504E-2,2.041817009E-1,-1.252273768E-1
2.675317060E-1,5.650503561E-2,2.185370475E-1,-9.834930301E-2
2.775317060E-1,8.750644326E-2,2.306016237E-1,-7.391469181E-2
2.875317060E-1,9.468411654E-2,2.362521291E-1,-5.574145541E-2
2.975317060E-1,9.453139454E-2,2.429716438E-1,-4.367686436E-2
3.075317060E-1,7.254024595E-2,2.587014437E-1,-4.734205827E-2
3.175317060E-1,5.177082866E-2,2.580905557E-1,-5.849034712E-2
3.275317060E-1,3.329215571E-2,2.446515262E-1,-7.009678334E-2
3.375317060E-1,1.786780916E-2,2.220495194E-1,-7.360926270E-2
3.475317060E-1,1.985311974E-3,1.850921661E-1,-7.040221989E-2
3.575317060E-1,-1.649336144E-2,1.366810948E-1,-6.215553731E-2
3.675317060E-1,-1.023199260E-1,1.466076635E-2,-5.054909736E-2
3.775317060E-1,-1.638645977E-1,-2.428189293E-2,-4.398229718E-2
3.875317060E-1,-2.310597748E-1,-2.825251780E-2,-4.062253982E-2
3.975317060E-1,-2.968805134E-1,-7.177666761E-3,-4.596760869E-2
4.075317060E-1,-3.625485301E-1,1.939497143E-2,-5.513058975E-2
4.175317060E-1,-3.625485301E-1,1.939497143E-2,-5.513058975E-2
4.275317060E-1,-3.625485301E-1,1.939497143E-2,-5.513058975E-2
4.375317060E-1,-4.760167301E-1,2.535090782E-2,-9.224065393E-2
4.475317060E-1,-4.798346460E-1,1.924225502E-2,-9.651670605E-2
4.575317060E-1,-4.778493345E-1,2.168571576E-2,-9.651670605E-2
4.675317060E-1,-4.751004577E-1,2.489275858E-2,-9.468411654E-2
4.775317060E-1,-4.751004577E-1,2.489275858E-2,-9.468411654E-2
4.875317060E-1,-4.834998548E-1,4.810563847E-2,-4.764748737E-2
4.975317060E-1,-4.883867502E-1,6.963863969E-2,-2.718350291E-2
5.075317060E-1,-4.964807332E-1,9.682214260E-2,-1.191187184E-2
5.175317060E-1,-5.093088746E-1,1.186605766E-1,1.832595794E-3
5.275317060E-1,-5.093088746E-1,1.186605766E-1,1.832595794E-3
5.375317060E-1,-5.248859525E-1,1.316414624E-1,1.786780916E-2
5.475317060E-1,-4.986187518E-1,1.276708394E-1,1.649336144E-2
5.575317060E-1,-4.576907754E-1,1.285871267E-1,1.466076635E-2
5.675317060E-1,-4.095851481E-1,1.319468915E-1,1.496619824E-2
